Date,State,Dead,Injured,Total,Description
31/12/2020,Indiana,1,3,4,A shooting unfolded outside a nightclub on New Year's Eve that killed a man and sent three others to the hospital.
31/12/2020,Oregon,0,4,4,Four people were wounded after a shooting at a party. All four are expected to survive.
27/12/2020,United States Virgin Islands,0,4,4,Four men were wounded after a shooting near a restaurant.
26/12/2020,Massachusetts,1,5,6,Six people were wounded in an evening shooting. One of the victims later died at the hospital.
26/12/2020,Illinois,3,3,6,Don Carter Lanes shooting: Three people are killed and three others injured in a shooting at a bowling alley. The shooter is believed to have selected his victims at random. A person of interest has been taken into custody by authorities.
26/12/2020,Florida,2,2,4,Two men were killed and two injured in an early morning targeted shooting in Ybor City.
26/12/2020,Florida,1,3,4,Three adults and a juvenile were wounded in an afternoon drive-by shooting. One of the wounded later died at the hospital.
25/12/2020,Florida,1,4,5,Four people were injured and one was killed after a shooting on Christmas Day.
25/12/2020,Arkansas,5,0,5,"Five females aged between eight and fifty; three were children, were found killed by a family member. Police believe it was domestic related."
24/12/2020,Florida,1,4,5,"After a teenager got into a conflict with another group, four people were injured and one was killed after a shooting at the teenager's home."
22/12/2020,Mississippi,5,0,5,Four individuals were discovered killed in three separate homes after wellness checks were called for them. The perpetrator died of a self inflicted gunshot wound.
20/12/2020,Kentucky,4,0,4,"A wife, husband, and two children were fatally shot inside of their home."
20/12/2020,Connecticut,2,2,4,Two men were killed at a sports bar in an apparent targeted shooting. Two innocent bystanders were wounded.
19/12/2020,Illinois,0,6,6,"Six people were wounded after someone walked into and opened fire inside a South Side beauty salon in the Burnside neighborhood, shortly after midnight. The salon was hosting an after hours party."
18/12/2020,Pennsylvania,0,4,4,Three men and a woman were shot in the Kingsessing neighborhood.  Cocaine and firearms were recovered on the scene.
14/12/2020,Missouri,0,4,4,Following a dispute outside of a restaurant four were people shot.
13/12/2020,West Virginia,4,0,4,"A family member discovered two parents and two children, aged 12 and 13-years-old, killed in their home. The killer was reportedly a third teenaged child of the family."
12/12/2020,California,1,3,4,A man was killed and three others wounded in an early morning shooting.
12/12/2020,New York,1,3,4,A man was killed and three others were wounded inside a deli.
12/12/2020,New York,0,4,4,Four men were wounded in an afternoon shooting in the Boerum Hill neighborhood of Brooklyn.
12/12/2020,Maryland,1,3,4,A man was killed and three others wounded at a large early morning gathering.
10/12/2020,Georgia,0,4,4,Four people were wounded near the Charles Spencer Elementary School during school hours. No students were harmed or in danger.
10/12/2020,Mississippi,0,5,5,Five men were wounded in a late night shooting. They were playing dice outside an apartment complex when a man drove up and started shooting. The man chased them through the complex before fleeing.
10/12/2020,Louisiana,2,2,4,Two people were killed and two wounded in a parking lot after an SUV pulled into it.
08/12/2020,Louisiana,2,3,5,A group of four men attempted to rob a home at gun point. The home owner opened fire in defense and killed two of the robbers and wounded the other two. The homeowner's four-year-old child was also wounded.
06/12/2020,Texas,0,6,6,"Six people were wounded at a rodeo outdoor live music venue, with one to two thousand attendees present. Police had been called to the venue three times prior to the shooting, due to fights."
05/12/2020,California,1,3,4,Officers responding to reports of a shooting shortly after midnight found a woman dead and three other individuals injured.
05/12/2020,North Carolina,0,6,6,Shortly before midnight an argument between two men at a bonfire escalated. Six people were wounded.
04/12/2020,Illinois,0,4,4,Three men and a seventeen-year-old girl were injured after someone shot at them from across the street. The group was standing outside a home in West Garfield Park.
01/12/2020,Pennsylvania,1,3,4,An eighteen-year-old was killed and three other teenagers were injured after a dispute between two groups escalated.
30/11/2020,Alaska,4,0,4,"A man was killed, and shortly later a woman and two children; aged 10 and 7-years-old were killed at a home. An additional child was found uninjured in the home."
29/11/2020,Mississippi,0,11,11,Eleven people were shot at a motorcycle club. The injured were treated at nearby hospitals and no arrests have been made.
29/11/2020,Tennessee,2,2,4,Two people were killed and two wounded in an apartment complex near Memphis International Airport.
28/11/2020,Louisiana,0,4,4,"Four people were shot in the evening, in New Orleans East."
28/11/2020,South Carolina,1,14,15,A man was killed and fourteen other people were injured shortly after midnight at a nightclub. At least three men fled in a vehicle and continued to fire from the vehicle.
27/11/2020,Georgia,1,5,6,A woman was killed and five people wounded by gunfire and two stabbed outside a nightclub after an early morning argument.
27/11/2020,Ohio,0,6,6,Five people were wounded while leaving a club in the early morning. A sixth person was wounded by a stray bullet while at home.
26/11/2020,Nevada,1,4,5,"One person was killed and four injured in a shooting outside a 7-Eleven store. The possible suspects were arrested on other charges in nearby Parker, Arizona."
22/11/2020,New Jersey,0,4,4,Four people were wounded in an evening shooting in the Stuyvesant area.
22/11/2020,New York,1,6,7,A woman was killed and six others were injured at a party in the Bedford–Stuyvesant neighborhood of Brooklyn.
21/11/2020,Illinois,0,6,6,Six people were wounded in an early morning shooting in Gresham on the South Side after a man opened fire on them from the sidewalk.
21/11/2020,Arizona,1,4,5,A woman was killed and three adults and a teenager were wounded at an illegal warehouse party.
21/11/2020,Nebraska,2,2,4,Two people were killed and two others wounded at a Sonic Drive-In after police responded to a call of a bomb inside a truck. A suspect has been arrested.
20/11/2020,Michigan,3,1,4,"A family of four, a husband and wife and their two adult sons, were shot in their home. The husband is in critical condition at a local hospital. A recently discharged gun was found at the scene and police do not believe there is a suspect at large."
20/11/2020,Wisconsin,0,8,8,"Mayfair Mall shooting: Eight people were hospitalized with non-life-threatening injuries after a person opened fire at the Mayfair Mall. Several people, including a 15-year-old boy from Milwaukee, have been arrested in the case."
19/11/2020,Florida,1,3,4,One person was killed and three injured in a drive-by shooting while standing under a carport.
18/11/2020,Texas,3,2,5,A man shot and killed his uncle and cousin and wounded his wife and aunt before committing suicide. His uninjured infant daughter was also in the home.
18/11/2020,South Carolina,0,4,4,Four people were wounded in an evening shooting.
17/11/2020,Tennessee,0,4,4,Four people were wounded at a home that had been the site of a break in back in January 2020.
16/11/2020,Florida,0,4,4,Two adults and two children under the age of seven were wounded in a drive-by shooting. They were standing outside a home in Golden Glades.
16/11/2020,Illinois,0,4,4,Four people were wounded in a drive-by shooting while walking down a road on the West Side. Two of the wounded were teenage girls.
16/11/2020,Illinois,0,4,4,Four people were wounded at the Dearborn homes after another group began an argument which escalated.
15/11/2020,Louisiana,0,5,5,Five people were shot shortly after midnight while attending a street gathering.
15/11/2020,Georgia,2,2,4,Two men were killed and two injured at a trailer park in a late night shooting.
14/11/2020,South Carolina,3,1,4,"Shortly before midnight, three people were killed and a pregnant woman wounded in a home."
14/11/2020,Missouri,0,4,4,Four people were wounded in a late night shooting at an event center. The center had been rented out for a birthday party prior to the shooting.
14/11/2020,Ohio,0,4,4,"Four teenagers, aged between twelve and fifteen, were wounded in an evening drive by shooting in the Winton Hills area."
14/11/2020,California,2,3,5,Officers responding to an assault with a deadly weapon call found two men who later died at a hospital. Three additional wounded individuals were identified at a hospital.
12/11/2020,Florida,2,4,6,Officers responding to reports of multiple gunshots found two men dead and four wounded in an evening shooting.
12/11/2020,North Carolina,0,6,6,"Six people were shot, including two police officers, when an argument inside a nightclub escalated."
10/11/2020,Florida,1,7,8,A man was killed and seven other men and teenagers were wounded in a drive-by shooting. A car opened fire on a group gathered at a basketball court next to a Boys & Girls Club.
09/11/2020,Texas,0,4,4,Two adults and two children were wounded in an afternoon shooting at a local food mart. Police are investigating it as possible gang activity.
08/11/2020,Virginia,0,4,4,Two adults and two children under the age of twelve were wounded in a gated apartment complex.
08/11/2020,Tennessee,0,8,8,Eight people and a dog were injured in a shooting on Commerce Street in the early hours of the morning.
07/11/2020,Kansas,0,4,4,Four men were wounded outside a local bar shortly before midnight.
07/11/2020,South Carolina,1,3,4,One individual was killed and three injured inside a local bar shortly after midnight.
06/11/2020,Louisiana,2,2,4,Two people were wounded and two killed in the Hollygrove section of the city. One of those killed may have been the target of the shooting.
05/11/2020,Ohio,3,1,4,Three people were killed and one injured near an apartment complex. The shooting is believed to be connected to a hit and run accident just down the road.
04/11/2020,Missouri,0,4,4,Four people were wounded in a shooting in a parking lot at a local sporting complex and gym located near the Jefferson City High School.
03/11/2020,Nevada,4,1,5,A man shot and killed three people at an apartment complex before being shot dead by police. A fifth person was taken to a hospital with gunshot wounds but the condition of the person was not yet known.
01/11/2020,New Jersey,1,3,4,A man was killed and three wounded near a local bar that was hosting a Halloween party in the early morning.
01/11/2020,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a party in an abandoned house.
01/11/2020,North Carolina,1,3,4,A man was killed and three others wounded shortly after midnight. A suspect was arrested shortly after.
01/11/2020,Indiana,0,4,4,Four people were wounded outside of a bar after an early morning argument escalated in a large crowd. The bar was the scene of a similar shooting in February 2019.
01/11/2020,Oklahoma,1,3,4,A man was killed and three others injured after someone fired into an event center.
01/11/2020,New York,2,2,4,"Two men were killed and two wounded outside an apartment building that was hosting a Halloween party, in the early morning."
01/11/2020,Arizona,2,2,4,Two men were killed and two wounded in the desert near Tucson International Airport in the early morning.
31/10/2020,California,0,4,4,Four people were wounded in a drive-by shooting in the Natomas area. Those wounded had gathered at a home there.
31/10/2020,Washington,0,5,5,"Five people were wounded after an argument escalated outside of a house party, shortly after midnight."
31/10/2020,California,0,4,4,Four people were wounded in an early morning shooting at a strip club. The shooter pulled up outside the club and opened fire.
31/10/2020,Maryland,0,7,7,Seven people were wounded at a party held in a hotel room at the University of Maryland.
