Date,State,Dead,Injured,Total,Description
09/11/2019,Georgia,0,4,4,"Two vehicles were shot at, wounding three adults and a 10-year-old child."
09/11/2019,Michigan,0,4,4,Four men were wounded in a drive-by shooting in a parking lot.
07/11/2019,Georgia,2,3,5,An argument escalated and left one man injured and another dead. The shooter then engaged in a shootout with officers injuring two officers before being killed.
04/11/2019,Texas,1,3,4,A man was killed and three other people were injured when a person opened fire at a group in a driveway.
03/11/2019,Ohio,0,4,4,Officers responding to a Shotspotter alert found four people wounded at a nightclub.
03/11/2019,Texas,1,3,4,"A man shot at five men working on a barn, killing one and injured three others."
02/11/2019,Michigan,1,4,5,One person was killed and five injured at an after hours party.
02/11/2019,Louisiana,0,4,4,Four people were wounded in a shooting.
01/11/2019,Arizona,0,5,5,Five teenagers were wounded at a Halloween party in a vacant home.
01/11/2019,Texas,0,4,4,Four people were wounded in a drive-by shooting outside a night club.
31/10/2019,California,5,4,9,"Orinda shooting: At an overnight Halloween party attended by over 100 people, five people were killed, and four more wounded by gunfire."
29/10/2019,California,3,9,12,Three men were killed and nine injured at a Halloween party at a residential home.
28/10/2019,Maryland,1,3,4,A man was killed and two adults and a 17-year-old were injured in front of a store.
27/10/2019,Michigan,0,4,4,Four men were injured in a random drive by shooting.
27/10/2019,Michigan,1,4,5,One man was killed and four others were injured at a house party.
27/10/2019,Texas,2,10,12,Two men were killed and ten others injured at a large party to celebrate Texas A&M University's homecoming weekend.
26/10/2019,New Jersey,0,4,4,Four people were wounded in a late night shooting.
24/10/2019,Oklahoma,2,2,4,Two people were killed and two injured at a home late at night.
22/10/2019,Oklahoma,1,3,4,One person was killed and three wounded at an apartment complex late at night.
21/10/2019,South Carolina,0,4,4,Four people were shot at random and wounded by a lone gunman.
20/10/2019,Texas,1,3,4,A woman was killed and three others injured in an early morning shooting.
19/10/2019,Pennsylvania,0,4,4,Four people were shot in a drive-by shooting.
19/10/2019,Texas,1,3,4,One man was killed and two others and a woman were injured in an early morning shooting.
15/10/2019,Oklahoma,2,2,4,A man killed his 11-year-old daughter and wounded her mother and the mother's boyfriend before committing suicide.
15/10/2019,Ohio,0,4,4,Three teenagers and an adult male were injured while sitting on a porch.
14/10/2019,Puerto Rico,6,0,6,2019 Río Piedras shooting: Six people were killed in a shootout at a housing project.
14/10/2019,Pennsylvania,3,1,4,A woman killed her two children and her husband before attempting to commit suicide.
13/10/2019,Ohio,0,4,4,One woman and three men were wounded outside a bar.
13/10/2019,Pennsylvania,0,6,6,A 14-year-old boy and five men were wounded while standing on the street.
12/10/2019,New York,4,3,7,Four people were killed and three injured at a social club.
12/10/2019,Texas,0,4,4,Four men were wounded after a brawl near a gas station.
12/10/2019,Maryland,1,3,4,A man was killed and three others injured.
12/10/2019,Illinois,5,0,5,Four people were killed and one injured after a neighbor entered their apartment and opened fire. The fifth victim died of her injuries later in hospital.
12/10/2019,Michigan,1,5,6,One person was killed and five injured after an argument escalated in a local bar.
10/10/2019,Pennsylvania,0,5,5,Five men were wounded after a driver was angered over a game of dice.
10/10/2019,Wisconsin,1,3,4,"A man was killed while another man and two children, ages 10 and 14, were wounded."
10/10/2019,Florida,2,2,4,Two people were killed and two wounded at a mobile home.
09/10/2019,Maryland,1,3,4,"A man was killed and three other individuals, including a 15-year-old boy, were injured."
07/10/2019,Massachusetts,5,0,5,"A family of five, two adults and three children, were found shot to death in their home in an apparent murder-suicide."
06/10/2019,Colorado,0,4,4,"An argument escalated during a large gathering outside a home, and four people were wounded."
06/10/2019,Kansas,4,5,9,Four people were killed and another five people wounded in a shooting at a bar.
06/10/2019,Indiana,0,5,5,"An argument inside of an American Legion bar escalated, and five men were shot as they left the bar."
05/10/2019,Oklahoma,4,0,4,Two adults and two children were discovered dead in a home.
03/10/2019,Missouri,1,3,4,Three people were wounded and a fourth later died at the hospital in a shooting.
03/10/2019,North Carolina,1,3,4,A man was killed and three others wounded.
01/10/2019,Missouri,0,4,4,Four men were wounded after two cars drove by a crowd of people and opened fire.
