Date,State,Dead,Injured,Total,Description
31/12/2021,Maryland,0,4,4,An adult and three juveniles were wounded in an evening shooting.
31/12/2021,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two shooters.
31/12/2021,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns."
30/12/2021,Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.
30/12/2021,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.
27/12/2021,Alabama,1,3,4,A man was killed and three others wounded at a local gas station.
27/12/2021,Colorado,6,2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.
27/12/2021,Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.
26/12/2021,New York,0,4,4,Four adults were wounded inside a pop-up store.
26/12/2021,Virginia,1,4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead."
26/12/2021,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.
26/12/2021,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.
26/12/2021,Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.
25/12/2021,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.
24/12/2021,New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.
24/12/2021,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.
24/12/2021,Pennsylvania,0,6,6,"Six people were found wounded in a local home, with one identified as the potential shooter."
19/12/2021,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.
17/12/2021,Maryland,1,3,4,One person was killed and three wounded in Upton.
17/12/2021,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.
17/12/2021,Maryland,1,4,5,A man was killed and four people wounded in Penn North.
16/12/2021,Alabama,0,4,4,Four people were wounded in an afternoon shooting.
13/12/2021,California,0,4,4,Police were alerted to four wounded by gunfire after an argument escalated through a shotspotter alert.
13/12/2021,Pennsylvania,0,4,4,"Four adults were wounded in Kengsington, they were found by patrolling police."
13/12/2021,North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded."
12/12/2021,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.
12/12/2021,Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later."
12/12/2021,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.
12/12/2021,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.
11/12/2021,Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man."
10/12/2021,Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl."
10/12/2021,Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.
10/12/2021,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.
09/12/2021,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital."
06/12/2021,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.
05/12/2021,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries."
05/12/2021,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three."
